Index,Tournament,Team,Opponent,pointsscored,pointslost,diff,date
28,Northwest D-I College Women's Regionals,Washington,Oregon State,13,4,9,2024-05-05
29,Northwest D-I College Women's Regionals,Washington,Oregon,7,13,-6,2024-05-05
30,Northwest D-I College Women's Regionals,Washington,British Columbia,5,13,-8,2024-05-05
31,Northwest D-I College Women's Regionals,Washington,Western Washington,12,8,4,2024-05-05
32,Northwest D-I College Women's Regionals,Washington,Oregon,3,13,-10,2024-05-05
33,2024 USA Ultimate D-I College Championships,Washington,Utah,15,9,6,2024-05-27
34,2024 USA Ultimate D-I College Championships,Washington,Pennsylvania,10,13,-3,2024-05-27
35,2024 USA Ultimate D-I College Championships,Washington,Stanford,10,15,-5,2024-05-27
36,2024 USA Ultimate D-I College Championships,Washington,Carleton College,11,15,-4,2024-05-27
37,2024 USA Ultimate D-I College Championships,Washington,Western Washington,12,15,-3,2024-05-27
