Rank,Team,PowerRating,Division,Wins,Losses,Date
95,Puget Sound,808,Division III,5,7,2024-04-04
96,Rutgers,807,Division I,7,5,2024-04-04
97,Middlebury,798,Division III,6,7,2024-04-04
98,Truman State,770,Division III,6,8,2024-04-04
99,Brandeis,769,Division III,7,4,2024-04-04
100,Rhode Island,723,Division I,8,6,2024-04-04
101,Denver,718,Division I,9,16,2024-04-04
102,Maryland,717,Division I,6,6,2024-04-04
103,West Chester,713,Division I,6,8,2024-04-04
104,Boston University,681,Division I,5,7,2024-04-04
105,Johns Hopkins,658,Division I,10,2,2024-04-04
106,John Brown,657,Division III,4,6,2024-04-04
107,Wisconsin-Eau Claire,656,Division I,9,5,2024-04-04
108,Claremont,641,Division III,3,9,2024-04-04
109,Liberty,631,Division I,6,12,2024-04-04
110,Illinois,624,Division I,12,8,2024-04-04
111,Mount Holyoke,619,Division III,6,7,2024-04-04
112,Dartmouth,605,Division III,5,8,2024-04-04
113,Richmond,597,Division III,7,4,2024-04-04
114,Cedarville,593,Division III,6,5,2024-04-04
115,Florida State,530,Division I,6,6,2024-04-04
116,California B,566,Developmental,6,9,2024-04-04
117,MIT,566,Division I,5,8,2024-04-04
118,NYU,565,Division I,4,8,2024-04-04
119,Charleston,558,Division I,7,5,2024-04-04
120,Oregon State,551,Division I,1,9,2024-04-04
121,Case Western Reserve,536,Division I,2,8,2024-04-04
122,Boston College,525,Division I,6,6,2024-04-04
123,Catholic,499,Division III,6,6,2024-04-04
124,Missouri State,352,Division I,2,9,2024-04-04
125,North Carolina B,455,Developmental,2,10,2024-04-04
126,Emory,447,Division I,4,8,2024-04-04
127,George Washington,441,Division I,10,7,2024-04-04
128,Texas A&M,413,Division I,7,6,2024-04-04
129,New Hampshire,412,Division I,4,7,2024-04-04
130,Texas State,362,Division I,5,8,2024-04-04
131,California-Davis B,346,Developmental,3,9,2024-04-04
132,Knox,315,Division III,5,6,2024-04-04
133,South Carolina B,288,Developmental,2,9,2024-04-04
134,Temple,287,Division I,3,10,2024-04-04
135,SUNY-Geneseo,257,Division III,3,9,2024-04-04
136,Swarthmore,166,Division III,7,6,2024-04-04
137,Wake Forest,212,Division I,4,7,2024-04-04
138,Michigan B,143,Developmental,6,5,2024-04-04
139,Skidmore,142,Division III,6,7,2024-04-04
140,Georgia College,168,Division III,6,7,2024-04-04
141,Vanderbilt,154,Division I,4,8,2024-04-04
142,Tulane,129,Division I,4,8,2024-04-04
143,Jacksonville State,121,Division I,5,8,2024-04-04
144,Virginia B,-11,Developmental,1,10,2024-04-04
145,Auburn,97,Division I,3,8,2024-04-04
146,Texas-San Antonio,55,Division I,5,7,2024-04-04
147,Washington University B,45,Developmental,4,9,2024-04-04
148,Alabama,36,Division I,4,9,2024-04-04
149,Georgia B,24,Developmental,3,9,2024-04-04
150,Syracuse,-37,Division I,5,8,2024-04-04
151,Texas B,-372,Developmental,1,12,2024-04-04
152,LSU,-325,Division I,3,15,2024-04-04
153,Northwestern B,-381,Developmental,1,11,2024-04-04
154,Alabama-Birmingham,-535,Division I,0,10,2024-04-04
155,Florida B,-641,Developmental,1,11,2024-04-04
156,Cornell B,-841,Developmental,0,9,2024-04-04
1,British Columbia,2461,Division I,24,2,2024-05-08
2,Vermont,2375,Division I,26,1,2024-05-08
3,Carleton,2319,Division I,22,4,2024-05-08
4,Oregon,2252,Division I,27,4,2024-05-08
5,Stanford,2221,Division I,21,6,2024-05-08
6,North Carolina,2196,Division I,34,3,2024-05-08
7,Colorado,2130,Division I,20,6,2024-05-08
8,Tufts,2059,Division I,25,5,2024-05-08
9,California-Santa Barbara,2023,Division I,24,8,2024-05-08
10,Washington,1954,Division I,19,13,2024-05-08
11,Michigan,1894,Division I,27,6,2024-05-08
12,Victoria,1863,Division I,15,13,2024-05-08
13,California-San Diego,1842,Division I,18,13,2024-05-08
14,Western Washington,1839,Division I,10,14,2024-05-08
15,Brigham Young,1832,Division I,13,7,2024-05-08
16,Pennsylvania,1798,Division I,22,9,2024-05-08
17,California-Santa Cruz,1783,Division I,14,11,2024-05-08
18,Colorado State,1774,Division I,16,7,2024-05-08
19,Georgia,1723,Division I,18,6,2024-05-08
20,California-Davis,1685,Division I,14,16,2024-05-08
21,Northeastern,1657,Division I,15,12,2024-05-08
22,Pittsburgh,1633,Division I,19,12,2024-05-08
23,Notre Dame,1623,Division I,23,8,2024-05-08
24,Utah,1589,Division I,15,16,2024-05-08
25,Wisconsin,1582,Division I,13,13,2024-05-08
26,Ohio State,1580,Division I,27,10,2024-05-08
27,California,1558,Division I,13,24,2024-05-08
28,UCLA,1555,Division I,19,19,2024-05-08
29,Alabama-Huntsville,1537,Division I,27,4,2024-05-08
30,Cal Poly-SLO,1536,Division I,19,19,2024-05-08
31,Central Florida,1525,Division I,30,1,2024-05-08
32,Brown,1510,Division I,20,9,2024-05-08
33,Union (Tennessee),1495,Division III,20,2,2024-05-08
34,Washington University,1487,Division I,20,9,2024-05-08
35,St Olaf,1471,Division III,20,4,2024-05-08
36,Carleton,1460,Division III,19,3,2024-05-08
37,William & Mary,1460,Division I,13,8,2024-05-08
38,SUNY-Binghamton,1425,Division I,16,8,2024-05-08
39,American,1421,Division I,18,2,2024-05-08
40,Minnesota,1404,Division I,14,7,2024-05-08
41,South Carolina,1393,Division I,16,10,2024-05-08
42,Portland,1382,Division III,15,4,2024-05-08
43,Texas-Dallas,1373,Division I,18,6,2024-05-08
44,Whitman,1359,Division III,10,8,2024-05-08
45,Yale,1349,Division I,17,8,2024-05-08
46,Macalester,1349,Division III,13,3,2024-05-08
47,Southern California,1348,Division I,14,17,2024-05-08
48,Colorado College,1318,Division III,18,7,2024-05-08
49,Georgetown,1296,Division I,21,7,2024-05-08
50,Virginia,1265,Division I,15,19,2024-05-08
51,Haverford/Bryn Mawr,1265,Division III,21,2,2024-05-08
52,Texas,1253,Division I,17,14,2024-05-08
53,Ottawa,1249,Division I,7,4,2024-05-08
54,Cornell,1237,Division I,15,8,2024-05-08
55,Georgia Tech,1232,Division I,18,7,2024-05-08
56,North Carolina State,1230,Division I,13,10,2024-05-08
57,Connecticut,1211,Division I,15,9,2024-05-08
58,Purdue,1208,Division I,16,9,2024-05-08
59,Ohio,1202,Division I,10,6,2024-05-08
60,Duke,1185,Division I,18,12,2024-05-08
61,Penn State,1171,Division I,15,15,2024-05-08
62,Florida,1169,Division I,16,10,2024-05-08
63,Tennessee,1169,Division I,19,10,2024-05-08
64,Nevada-Reno,1159,Division I,11,6,2024-05-08
65,James Madison,1157,Division I,11,12,2024-05-08
66,Trinity,1152,Division III,20,6,2024-05-08
67,Northwestern,1139,Division I,15,12,2024-05-08
68,Vermont B,1138,Developmental,19,5,2024-05-08
69,Grand Canyon,1131,Division I,9,5,2024-05-08
70,Columbia,1114,Division I,15,16,2024-05-08
71,Santa Clara,1107,Division I,10,9,2024-05-08
72,Lewis & Clark,1098,Division III,10,9,2024-05-08
73,Wellesley,1089,Division III,17,7,2024-05-08
74,Missouri,1064,Division I,13,7,2024-05-08
75,San Diego State,1061,Division I,15,11,2024-05-08
76,Arizona,1061,Division I,10,2,2024-05-08
77,Davidson,1059,Division III,9,2,2024-05-08
78,Harvard,1057,Division I,12,10,2024-05-08
79,Wesleyan,1051,Division III,15,6,2024-05-08
80,Kansas,1043,Division I,10,8,2024-05-08
81,Rochester,1042,Division III,16,6,2024-05-08
82,Cincinnati,1032,Division I,14,7,2024-05-08
83,California-San Diego B,1032,Developmental,14,12,2024-05-08
84,Williams,1023,Division III,15,5,2024-05-08
85,Bates,1020,Division III,14,6,2024-05-08
86,Middlebury,1010,Division III,15,8,2024-05-08
87,California-Irvine,1010,Division I,10,11,2024-05-08
88,MIT,1006,Division I,10,13,2024-05-08
89,Tennessee-Chattanooga,999,Division I,15,11,2024-05-08
90,Virginia Tech,997,Division I,12,15,2024-05-08
91,Rice,977,Division III,12,6,2024-05-08
92,Lehigh,967,Division III,21,6,2024-05-08
93,Iowa State,944,Division I,14,15,2024-05-08
94,Chicago,934,Division I,10,21,2024-05-08
95,Maryland,931,Division I,10,12,2024-05-08
96,Rhode Island,914,Division I,12,11,2024-05-08
97,Iowa,904,Division I,11,10,2024-05-08
98,Clemson,897,Division I,8,13,2024-05-08
99,Mount Holyoke,891,Division III,13,10,2024-05-08
100,Appalachian State,887,Division I,8,13,2024-05-08
101,Michigan Tech,887,Division III,9,6,2024-05-08
102,West Chester,877,Division I,11,15,2024-05-08
103,Montana,873,Division I,7,11,2024-05-08
104,Brandeis,863,Division III,12,8,2024-05-08
105,NYU,851,Division I,11,15,2024-05-08
106,Puget Sound,837,Division III,7,11,2024-05-08
107,Carnegie Mellon,837,Division I,4,19,2024-05-08
108,Saint Louis,825,Division I,12,12,2024-05-08
109,Florida State,821,Division I,12,12,2024-05-08
110,Richmond,819,Division III,12,5,2024-05-08
111,Denver,810,Division I,12,20,2024-05-08
112,Davenport,799,Division III,12,5,2024-05-08
113,Temple,794,Division I,8,17,2024-05-08
114,Rutgers,794,Division I,11,13,2024-05-08
115,Charleston,772,Division I,11,12,2024-05-08
116,Boston College,770,Division I,9,12,2024-05-08
117,Grinnell,766,Division III,5,7,2024-05-08
118,Arkansas,761,Division I,6,6,2024-05-08
119,East Carolina,751,Division I,11,9,2024-05-08
120,Johns Hopkins,748,Division I,12,10,2024-05-08
121,Illinois,742,Division I,18,13,2024-05-08
122,Massachusetts,737,Division I,8,14,2024-05-08
123,Occidental,720,Division III,6,5,2024-05-08
124,Boston University,714,Division I,5,10,2024-05-08
125,Wisconsin-Eau Claire,711,Division I,12,6,2024-05-08
126,Claremont,689,Division III,4,11,2024-05-08
127,Cedarville,688,Division III,11,7,2024-05-08
128,Truman State,674,Division III,8,11,2024-05-08
129,California B,659,Developmental,8,13,2024-05-08
130,Arizona State,647,Division I,3,10,2024-05-08
131,Liberty,635,Division I,7,20,2024-05-08
132,Grand Valley,631,Division I,4,9,2024-05-08
133,Indiana,622,Division I,6,5,2024-05-08
134,Oregon State,621,Division I,1,18,2024-05-08
135,Ithaca,616,Division III,8,8,2024-05-08
136,John Brown,610,Division III,5,10,2024-05-08
137,Dartmouth,595,Division III,8,12,2024-05-08
138,New Hampshire,587,Division I,7,13,2024-05-08
139,Cal Poly-SLO B,585,Developmental,3,9,2024-05-08
140,North Carolina B,560,Developmental,8,10,2024-05-08
141,Texas A&M,556,Division I,11,12,2024-05-08
142,Delaware,555,Division I,5,6,2024-05-08
143,Loyola-Chicago,551,Division I,3,8,2024-05-08
144,Skidmore,551,Division III,11,12,2024-05-08
145,Texas State,548,Division I,8,14,2024-05-08
146,Tulane,545,Division I,10,14,2024-05-08
147,George Washington,528,Division I,11,9,2024-05-08
148,Kenyon,516,Division III,7,7,2024-05-08
149,Montana State,515,Division I,1,10,2024-05-08
150,Case Western Reserve,515,Division I,2,16,2024-05-08
151,Emory,502,Division I,9,15,2024-05-08
152,Cal State-Long Beach,500,Division I,1,9,2024-05-08
153,Catholic,500,Division III,8,10,2024-05-08
154,Jacksonville State,450,Division I,12,13,2024-05-08
155,Smith,445,Division III,3,7,2024-05-08
156,RIT,442,Division I,6,9,2024-05-08
157,Bentley,432,Division III,3,11,2024-05-08
158,Amherst,419,Division III,4,13,2024-05-08
159,Swarthmore,410,Division III,10,12,2024-05-08
160,Mary Washington,386,Division III,3,8,2024-05-08
161,SUNY-Stony Brook,382,Division I,3,7,2024-05-08
162,Minnesota B,336,Developmental,1,8,2024-05-08
163,Vermont C,304,Developmental,6,10,2024-05-08
164,California-Davis B,301,Developmental,4,11,2024-05-08
165,Knox,300,Division III,9,9,2024-05-08
166,UCLA B,299,Developmental,2,8,2024-05-08
167,South Carolina B,291,Developmental,2,9,2024-05-08
168,Bowdoin,264,Division III,3,12,2024-05-08
169,SUNY-Buffalo,258,Division I,3,10,2024-05-08
170,Missouri State,254,Division I,3,12,2024-05-08
171,Syracuse,249,Division I,5,11,2024-05-08
172,Wake Forest,247,Division I,5,12,2024-05-08
173,Kentucky,230,Division I,4,6,2024-05-08
174,SUNY-Geneseo,220,Division III,4,16,2024-05-08
175,Washington University B,218,Developmental,4,14,2024-05-08
176,Michigan B,199,Developmental,8,13,2024-05-08
177,Georgia College,182,Division III,6,9,2024-05-08
178,Oberlin,116,Division III,4,9,2024-05-08
179,Texas-San Antonio,109,Division I,7,10,2024-05-08
180,Elon,99,Division III,1,9,2024-05-08
181,Sam Houston,92,Division I,6,8,2024-05-08
182,Alabama,86,Division I,7,17,2024-05-08
183,Columbia B,79,Developmental,1,9,2024-05-08
184,Notre Dame B,41,Developmental,2,14,2024-05-08
185,Texas B,18,Developmental,5,18,2024-05-08
186,Northeastern B,2,Developmental,2,10,2024-05-08
187,Vanderbilt,2,Division I,7,14,2024-05-08
188,Brown B,0,Developmental,2,7,2024-05-08
189,Auburn,-1,Division I,4,13,2024-05-08
190,Houston,-1,Division I,3,11,2024-05-08
191,Georgetown B,-13,Developmental,3,8,2024-05-08
192,William & Mary B,-23,Developmental,4,7,2024-05-08
193,Miami (Florida),-23,Division I,3,8,2024-05-08
194,Georgia B,-53,Developmental,6,17,2024-05-08
195,Butler,-86,Division III,4,9,2024-05-08
196,LSU,-104,Division I,6,24,2024-05-08
197,North Carolina-Wilmington,-127,Division I,2,10,2024-05-08
198,Georgia Southern,-141,Division I,4,9,2024-05-08
199,Colorado College B,-258,Developmental,1,9,2024-05-08
200,Northwestern B,-275,Developmental,1,15,2024-05-08
201,Virginia B,-279,Developmental,1,14,2024-05-08
202,Alabama-Birmingham,-294,Division I,1,14,2024-05-08
203,SUNY-Albany,-321,Division I,1,11,2024-05-08
204,American B,-329,Developmental,2,9,2024-05-08
205,North Texas,-458,Division I,2,13,2024-05-08
206,Florida B,-526,Developmental,1,16,2024-05-08
207,Cornell B,-588,Developmental,0,9,2024-05-08
208,Emory B,-741,Developmental,0,10,2024-05-08
1,Vermont,2355,Division I,31,2,2024-06-20
2,British Columbia,2249,Division I,28,4,2024-06-20
3,North Carolina,2231,Division I,41,3,2024-06-20
4,Carleton,2192,Division I,26,6,2024-06-20
5,Stanford,2159,Division I,27,7,2024-06-20
6,Colorado,2106,Division I,25,8,2024-06-20
7,Tufts,2052,Division I,29,6,2024-06-20
8,Oregon,2049,Division I,30,7,2024-06-20
9,California-Santa Barbara,1911,Division I,26,11,2024-06-20
10,Michigan,1847,Division I,29,9,2024-06-20
11,Washington,1764,Division I,20,17,2024-06-20
12,California-San Diego,1733,Division I,19,17,2024-06-20
13,Pennsylvania,1724,Division I,24,12,2024-06-20
14,Western Washington,1692,Division I,12,17,2024-06-20
15,Brigham Young,1684,Division I,13,7,2024-06-20
16,Colorado State,1680,Division I,18,10,2024-06-20
17,Victoria,1667,Division I,16,17,2024-06-20
18,Georgia,1662,Division I,19,10,2024-06-20
19,California-Santa Cruz,1638,Division I,15,15,2024-06-20
20,Northeastern,1603,Division I,15,12,2024-06-20
21,Pittsburgh,1571,Division I,19,12,2024-06-20
22,Notre Dame,1565,Division I,23,8,2024-06-20
23,California-Davis,1562,Division I,14,16,2024-06-20
24,Ohio State,1524,Division I,27,10,2024-06-20
25,Portland,1513,Division III,21,4,2024-06-20
26,Wisconsin,1509,Division I,13,13,2024-06-20
27,SUNY-Binghamton,1496,Division I,18,11,2024-06-20
28,Carleton,1490,Division III,24,4,2024-06-20
29,Brown,1476,Division I,20,9,2024-06-20
30,UCLA,1453,Division I,19,19,2024-06-20
31,Utah,1450,Division I,15,21,2024-06-20
32,St Olaf,1448,Division III,24,5,2024-06-20
33,Central Florida,1444,Division I,30,1,2024-06-20
34,California,1442,Division I,13,24,2024-06-20
35,Alabama-Huntsville,1441,Division I,27,4,2024-06-20
36,Cal Poly-SLO,1423,Division I,19,19,2024-06-20
37,William & Mary,1408,Division I,13,8,2024-06-20
38,Washington University,1406,Division I,20,9,2024-06-20
39,American,1359,Division I,18,2,2024-06-20
40,Minnesota,1342,Division I,14,7,2024-06-20
41,South Carolina,1342,Division I,16,10,2024-06-20
42,Whitman,1342,Division III,10,8,2024-06-20
43,Yale,1333,Division I,17,8,2024-06-20
44,Texas-Dallas,1294,Division I,18,6,2024-06-20
45,Ottawa,1261,Division I,7,4,2024-06-20
46,Cornell,1247,Division I,15,8,2024-06-20
47,Southern California,1240,Division I,14,17,2024-06-20
48,Georgetown,1233,Division I,21,7,2024-06-20
49,Macalester,1222,Division III,17,5,2024-06-20
50,Virginia,1214,Division I,15,19,2024-06-20
51,Connecticut,1206,Division I,15,9,2024-06-20
52,Haverford/Bryn Mawr,1201,Division III,25,4,2024-06-20
53,North Carolina State,1186,Division I,13,10,2024-06-20
54,Texas,1178,Division I,17,14,2024-06-20
55,Union (Tennessee),1177,Division III,23,5,2024-06-20
56,Colorado College,1159,Division III,21,10,2024-06-20
57,Georgia Tech,1155,Division I,18,7,2024-06-20
58,Ohio,1150,Division I,10,6,2024-06-20
59,Duke,1148,Division I,18,12,2024-06-20
60,Purdue,1142,Division I,16,9,2024-06-20
61,Middlebury,1130,Division III,19,9,2024-06-20
62,Penn State,1127,Division I,15,15,2024-06-20
63,Vermont B,1113,Developmental,19,5,2024-06-20
64,Columbia,1109,Division I,15,16,2024-06-20
65,James Madison,1103,Division I,11,12,2024-06-20
66,Florida,1096,Division I,16,10,2024-06-20
67,Tennessee,1076,Division I,19,10,2024-06-20
68,Northwestern,1065,Division I,15,12,2024-06-20
69,Wellesley,1056,Division III,19,11,2024-06-20
70,Wesleyan,1056,Division III,19,8,2024-06-20
71,Trinity,1054,Division III,20,6,2024-06-20
72,Lewis & Clark,1047,Division III,11,13,2024-06-20
73,Nevada-Reno,1038,Division I,11,6,2024-06-20
74,Williams,1034,Division III,15,5,2024-06-20
75,Harvard,1023,Division I,12,10,2024-06-20
76,Grand Canyon,1023,Division I,9,5,2024-06-20
77,Rochester,1021,Division III,16,6,2024-06-20
78,Bates,1019,Division III,14,6,2024-06-20
79,Santa Clara,989,Division I,10,9,2024-06-20
80,Missouri,988,Division I,13,7,2024-06-20
81,Kansas,969,Division I,10,8,2024-06-20
82,Cincinnati,967,Division I,14,7,2024-06-20
83,MIT,960,Division I,10,13,2024-06-20
84,Arizona,954,Division I,10,2,2024-06-20
85,Mount Holyoke,954,Division III,15,14,2024-06-20
86,San Diego State,951,Division I,15,11,2024-06-20
87,Davidson,948,Division III,9,2,2024-06-20
88,Virginia Tech,945,Division I,12,15,2024-06-20
89,California-San Diego B,926,Developmental,14,12,2024-06-20
90,Lehigh,911,Division III,21,6,2024-06-20
91,Rhode Island,899,Division I,12,11,2024-06-20
92,California-Irvine,898,Division I,10,11,2024-06-20
93,Tennessee-Chattanooga,880,Division I,15,11,2024-06-20
94,Rice,878,Division III,12,6,2024-06-20
95,Brandeis,876,Division III,12,8,2024-06-20
96,Chicago,874,Division I,10,21,2024-06-20
97,Iowa State,870,Division I,14,15,2024-06-20
98,Maryland,865,Division I,10,12,2024-06-20
99,West Chester,854,Division I,11,15,2024-06-20
100,NYU,848,Division I,11,15,2024-06-20
101,Clemson,839,Division I,8,13,2024-06-20
102,Puget Sound,835,Division III,7,11,2024-06-20
103,Iowa,833,Division I,11,10,2024-06-20
104,Appalachian State,828,Division I,8,13,2024-06-20
105,Michigan Tech,818,Division III,9,6,2024-06-20
106,Carnegie Mellon,813,Division I,4,19,2024-06-20
107,Rutgers,799,Division I,11,13,2024-06-20
108,Montana,776,Division I,7,11,2024-06-20
109,Temple,768,Division I,8,17,2024-06-20
110,Davenport,756,Division III,13,9,2024-06-20
111,Saint Louis,749,Division I,12,12,2024-06-20
112,Florida State,741,Division I,12,12,2024-06-20
113,Boston College,728,Division I,9,12,2024-06-20
114,Massachusetts,721,Division I,8,14,2024-06-20
115,Denver,709,Division I,12,20,2024-06-20
116,Charleston,707,Division I,11,12,2024-06-20
117,Grinnell,690,Division III,7,11,2024-06-20
118,Boston University,686,Division I,5,10,2024-06-20
119,Arkansas,683,Division I,6,6,2024-06-20
120,East Carolina,675,Division I,11,9,2024-06-20
121,Johns Hopkins,674,Division I,12,10,2024-06-20
122,Illinois,659,Division I,18,13,2024-06-20
123,Wisconsin-Eau Claire,635,Division I,12,6,2024-06-20
124,Richmond,627,Division III,12,11,2024-06-20
125,Cedarville,606,Division III,11,7,2024-06-20
126,Ithaca,594,Division III,8,8,2024-06-20
127,Dartmouth,592,Division III,8,12,2024-06-20
128,Liberty,591,Division I,7,20,2024-06-20
129,Truman State,590,Division III,8,11,2024-06-20
130,Oregon State,578,Division I,1,18,2024-06-20
131,New Hampshire,572,Division I,7,13,2024-06-20
132,Grand Valley,558,Division I,4,9,2024-06-20
133,California B,555,Developmental,8,13,2024-06-20
134,Indiana,552,Division I,6,5,2024-06-20
135,Arizona State,541,Division I,3,10,2024-06-20
136,Claremont,540,Division III,4,11,2024-06-20
137,Occidental,539,Division III,7,10,2024-06-20
138,Skidmore,535,Division III,11,12,2024-06-20
139,North Carolina B,525,Developmental,8,10,2024-06-20
140,John Brown,513,Division III,5,10,2024-06-20
141,Delaware,483,Division I,5,6,2024-06-20
142,Texas State,476,Division I,8,14,2024-06-20
143,Loyola-Chicago,476,Division I,3,8,2024-06-20
144,Texas A&M,475,Division I,11,12,2024-06-20
145,Cal Poly-SLO B,461,Developmental,3,9,2024-06-20
146,Tulane,459,Division I,10,14,2024-06-20
147,Smith,457,Division III,3,7,2024-06-20
148,Case Western Reserve,457,Division I,2,16,2024-06-20
149,George Washington,448,Division I,11,9,2024-06-20
150,Kenyon,444,Division III,7,7,2024-06-20
151,Bentley,443,Division III,3,11,2024-06-20
152,RIT,433,Division I,6,9,2024-06-20
153,Amherst,426,Division III,4,13,2024-06-20
154,Montana State,415,Division I,1,10,2024-06-20
155,Emory,410,Division I,9,15,2024-06-20
156,Catholic,398,Division III,8,10,2024-06-20
157,SUNY-Stony Brook,382,Division I,3,7,2024-06-20
158,Cal State-Long Beach,371,Division I,1,9,2024-06-20
159,Jacksonville State,366,Division I,12,13,2024-06-20
160,Swarthmore,340,Division III,10,12,2024-06-20
161,Vermont C,286,Developmental,6,10,2024-06-20
162,Mary Washington,273,Division III,3,8,2024-06-20
163,Minnesota B,266,Developmental,1,8,2024-06-20
164,Bowdoin,262,Division III,3,12,2024-06-20
165,SUNY-Buffalo,249,Division I,3,10,2024-06-20
166,Syracuse,228,Division I,5,11,2024-06-20
167,Knox,224,Division III,9,9,2024-06-20
168,South Carolina B,195,Developmental,2,9,2024-06-20
169,SUNY-Geneseo,192,Division III,4,16,2024-06-20
170,California-Davis B,185,Developmental,4,11,2024-06-20
171,UCLA B,184,Developmental,2,8,2024-06-20
172,Missouri State,175,Division I,3,12,2024-06-20
173,Wake Forest,158,Division I,5,12,2024-06-20
174,Kentucky,142,Division I,4,6,2024-06-20
175,Washington University B,139,Developmental,4,14,2024-06-20
176,Columbia B,129,Developmental,1,9,2024-06-20
177,Michigan B,121,Developmental,8,13,2024-06-20
178,Georgia College,100,Division III,6,9,2024-06-20
179,Oberlin,43,Division III,4,9,2024-06-20
180,Texas-San Antonio,27,Division I,7,10,2024-06-20
181,Sam Houston,12,Division I,6,8,2024-06-20
182,Alabama,2,Division I,7,17,2024-06-20
183,Elon,-11,Division III,1,9,2024-06-20
184,Northeastern B,-15,Developmental,2,10,2024-06-20
185,Notre Dame B,-37,Developmental,2,14,2024-06-20
186,Brown B,-41,Developmental,2,7,2024-06-20
187,Texas B,-62,Developmental,5,18,2024-06-20
188,Georgetown B,-77,Developmental,3,8,2024-06-20
189,Houston,-81,Division I,3,11,2024-06-20
190,Vanderbilt,-82,Division I,7,14,2024-06-20
191,Auburn,-85,Division I,4,13,2024-06-20
192,William & Mary B,-94,Developmental,4,7,2024-06-20
193,Miami (Florida),-107,Division I,3,8,2024-06-20
194,Georgia B,-138,Developmental,6,17,2024-06-20
195,Butler,-158,Division III,4,9,2024-06-20
196,LSU,-188,Division I,6,24,2024-06-20
197,North Carolina-Wilmington,-213,Division I,2,10,2024-06-20
198,Georgia Southern,-226,Division I,4,9,2024-06-20
199,SUNY-Albany,-333,Division I,1,11,2024-06-20
200,Northwestern B,-354,Developmental,1,15,2024-06-20
201,Virginia B,-358,Developmental,1,14,2024-06-20
202,Colorado College B,-359,Developmental,1,9,2024-06-20
203,Alabama-Birmingham,-378,Division I,1,14,2024-06-20
204,American B,-399,Developmental,2,9,2024-06-20
205,North Texas,-539,Division I,2,13,2024-06-20
206,Cornell B,-600,Developmental,0,9,2024-06-20
207,Florida B,-610,Developmental,1,16,2024-06-20
208,Emory B,-826,Developmental,0,10,2024-06-20
